ts	run	board	white	black	result	plies	wpc	bpc	wms	bms	wcpu	bcpu	wmv	bmv	wnod	bnod	wed	bed	wsn	bsn	seed	par
2026-07-26T21:40:17Z	20260726T214014Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1.opener(rand,4)@1	B	46	10	11	5.694	372.946	0.000	375.000	23	23	88634	1120425	69.00	100.00	19	19	4093265224	12
2026-07-26T21:40:17Z	20260726T214014Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	rand@1	W	17	16	12	0.919	0.005	0.000	0.000	9	8	13177	0	20.00	0.00	5	0	2733181501	12
2026-07-26T21:40:18Z	20260726T214014Z	boards/board1.txt	ab(d6,ord,nb200k)@1.adv(t20,c77,w0,l0,f0,d-2,e0,m0,h0,b1,o0,r0,x0,n0,s1,g1)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	W	58	9	10	980.696	384.030	906.250	328.125	29	29	2699447	1210250	139.63	136.00	25	25	2994100390	12
2026-07-26T21:40:20Z	20260726T214014Z	boards/board1.txt	ab(d6,ord,nb200k)@1.adv(t20,c77,w0,l0,f0,d-2,e0,m0,h0,b1,o0,r0,x0,n0,s1,g1)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s6,eac8ab99)@1.opener(rand,4)@1	B	63	8	7	1065.722	529.359	1000.000	468.750	32	31	2929441	1819775	153.08	152.14	28	27	4205863310	12
2026-07-26T21:40:21Z	20260726T214014Z	boards/board1.txt	ab(d6,ord,nb200k)@1.adv(t20,c77,w0,l0,f0,d-2,e0,m0,h0,b1,o0,r0,x0,n0,s1,g1)@1.opener(rand,4)@1	ab(d6,tt,ord,qs,nb200k)@1.learned(s98,5801570e)@1.opener(rand,4)@1	B	71	9	6	971.903	598.743	921.875	546.875	36	35	2625723	1867335	178.00	177.00	32	31	3750467176	12
2026-07-26T21:40:21Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r30,d4)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r63)@1.opener(rand,4)@1	W	17	16	13	71.619	0.008	78.125	0.000	9	8	196277	0	23.00	0.00	5	0	677687520	12
2026-07-26T21:40:22Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r30,d4)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898)@1.opener(rand,4)@1	B	51	8	12	236.832	559.300	203.125	500.000	26	25	634307	1592806	105.00	117.00	22	21	1225481793	12
2026-07-26T21:40:23Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r30,d4)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1.opener(rand,4)@1	B	73	5	9	183.089	396.966	156.250	359.375	37	36	597158	991277	168.00	183.00	33	32	2530343946	12
2026-07-26T21:40:23Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r30,d4)@1.opener(rand,4)@1	rand@1	W	39	15	11	291.567	0.027	234.375	0.000	20	19	828657	0	82.00	0.00	16	0	79585295	12
2026-07-26T21:40:24Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r63)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898)@1.opener(rand,4)@1	B	47	12	13	217.727	531.693	218.750	453.125	24	23	592175	1486697	67.00	106.00	12	19	1067480857	12
