rank	elo	pm	games	wins	losses	white_wins	white_losses	black_wins	black_losses	avg_plies	ms_move	cpu_ms_move	nodes_move	eff	active	id
51	932	24	318	226	92	118	41	108	51	37.0	0.724	2.461	3504	83	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r60,d3)@1
52	932	26	196	141	55	66	32	75	23	51.8	34.471	29.412	57811	63	gone	ab(d6,tt,ord,nb200k)@1.learned(s11,e2d2f5da)@1
53	932	26	196	141	55	76	22	65	33	50.8	26.628	23.257	50859	64	gone	ab(d6,tt,ord,nb200k)@1.learned(s8,41ebc0ab)@1
54	920	26	196	138	58	70	28	68	30	50.0	28.638	24.820	54620	63	gone	ab(d6,tt,ord,nb200k)@1.learned(s5,70081fb7)@1
55	916	26	196	137	59	73	25	64	34	52.9	165.216	147.175	56856	53	gone	ab(d6,tt,ord,nb200k)@1.learned(s25,64a11ec7)@1
56	916	12	1120	616	504	334	226	282	278	50.1	10.971	10.805	40946	68	on	ab(d6,tt,ord,nb200k)@1.learned(s9,e5b3b014)@1
57	912	13	1120	845	275	429	131	416	144	40.1	3.593	6.208	17631	72	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r15,d4)@1
58	906	24	318	218	100	114	45	104	55	38.5	4.793	7.326	25399	71	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r7)@1
59	905	26	196	134	62	72	26	62	36	54.2	168.845	147.819	59492	53	gone	ab(d6,tt,ord,nb200k)@1.learned(s19,37dc9a9a)@1
60	893	13	1120	825	295	424	136	401	159	41.0	4.137	5.857	20177	71	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r15,d3)@1
61	887	25	196	129	67	66	32	63	35	53.7	25.579	23.517	52623	61	gone	ab(d6,tt,ord,nb200k)@1.learned(s9,4d37b1f7)@1
62	884	13	1120	816	304	421	139	395	165	40.4	3.394	5.229	16583	72	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r30,d4)@1
63	879	25	196	127	69	62	36	65	33	54.5	168.636	149.544	58758	51	gone	ab(d6,tt,ord,nb200k)@1.learned(s23,1533231f)@1
64	879	25	196	127	69	62	36	65	33	51.6	157.984	137.814	54163	51	gone	ab(d6,tt,ord,nb200k)@1.learned(s24,d1e5f517)@1
65	875	25	196	126	70	65	33	61	37	53.2	252.027	229.678	53089	49	gone	ab(d6,tt,ord,nb200k)@1.learned(s33,b02b58b6)@1
66	875	14	808	509	299	253	151	256	148	47.2	14.981	14.465	49147	63	on	ab(d6,tt,ord,nb200k)@1.learned(s94,784bb5fe)@1
67	869	13	1120	799	321	443	117	356	204	40.2	5.077	8.239	124703	67	on	ab(d6,nb200k)@1.classic(t1,c4,w0,l0)@2
68	865	24	318	205	113	106	53	99	60	38.3	5.377	8.188	28996	67	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1
69	865	25	196	123	73	63	35	60	38	52.9	270.558	243.894	57249	48	gone	ab(d6,tt,ord,nb200k)@1.learned(s35,e0fe5acd)@1
70	863	13	1120	793	327	413	147	380	180	41.2	5.007	8.536	24781	66	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r4)@1
71	857	25	196	121	75	61	37	60	38	54.3	265.004	241.440	57693	48	gone	ab(d6,tt,ord,nb200k)@1.learned(s37,97ad3321)@1
72	851	12	1120	779	341	392	168	387	173	39.9	2.578	4.077	12592	71	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r45,d4)@1
73	848	14	808	484	324	258	146	226	178	47.8	14.452	13.669	45152	62	on	ab(d6,tt,ord,nb200k)@1.learned(s95,07792e69)@1
74	839	25	196	116	80	68	30	48	50	55.2	157.712	141.679	56720	49	gone	ab(d6,tt,ord,nb200k)@1.learned(s21,29061624)@1
75	835	25	196	115	81	60	38	55	43	52.7	154.251	135.400	55163	49	gone	ab(d6,tt,ord,nb200k)@1.learned(s17,56ed7027)@1
76	835	25	196	115	81	66	32	49	49	56.6	277.819	249.775	58749	47	gone	ab(d6,tt,ord,nb200k)@1.learned(s30,ba8efc12)@1
77	834	12	1120	760	360	388	172	372	188	43.3	3.759	5.708	18816	67	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r30,d3)@1
78	833	12	1120	759	361	384	176	375	185	40.0	1.977	3.097	9710	72	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r60,d4)@1
79	830	12	1120	756	364	376	184	380	180	42.3	5.414	9.095	27372	63	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r7)@1
80	828	25	196	113	83	59	39	54	44	53.2	154.673	134.462	54709	49	gone	ab(d6,tt,ord,nb200k)@1.learned(s18,111d8d80)@1
81	828	19	504	310	194	162	90	148	104	36.8	0.165	0.266	3704	103	gone	ab(d4)@1.classic(t1,c4,w0,l0)@1
82	825	25	196	112	84	54	44	58	40	52.7	241.162	217.857	51301	47	gone	ab(d6,tt,ord,nb200k)@1.learned(s28,6d10efee)@1
83	821	25	196	111	85	58	40	53	45	55.0	253.394	229.008	54725	46	gone	ab(d6,tt,ord,nb200k)@1.learned(s36,31b20ca2)@1
84	817	25	196	110	86	64	34	46	52	53.8	148.657	130.770	53528	48	gone	ab(d6,tt,ord,nb200k)@1.learned(s15,af04747f)@1
