# book v1 (rank.exe bookgen)
# a (line owner): ab(d8,tt,ord,nb2m)@1.classic(t1,c4,w0,l0)@2
# b (target):     ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1
# board boards/board1.txt, max half-moves 60, A-won replays kept 29 of 32 (replay drift vs stored result: 3), entries 553, move conflicts 2
58866cf5d13f7e19 6 5 5
591de5b12e351e49 3 4 2
59a59a2b04a3dec1 0 3 1
59f36cd23536c40c 0 4 0
5a1c140f39daabad 2 3 3
5a30aef94431a4fa 3 7 2
5a80e7eeb8ee19ba 1 4 0
5c16139db25ebf67 4 5 3
5c250facdc497613 1 6 0
5cfc2f43fa1ed7b6 0 2 0
5d1ca466980555e3 7 4 6
5d7aa36e863b5eb6 1 2 0
5e2b5f18cfffe486 4 0 3
5e437ddd36ca78f0 1 2 0
5e4c82f59431db89 0 7 1
5ffcacfe6a31b5d8 2 0 1
607f5a8b3e6e3701 0 6 1
60a6620f7a65afdc 2 3 1
60d878e9d529f3f9 5 5 4
6163e2fe7aa70742 6 5 7
616c32676226f0de 1 0 0
616c6874f7f5eac2 0 5 1
616ec5f8fad02a8a 5 6 4
619ff33002296da4 0 4 0
6208575e17090bdb 1 4 1
62f88205c94706c7 6 6 5
636d094cf8cfe58b 1 4 2
63ad39d61ae3cb7f 0 4 1
63c6c393a960545a 4 2 5
64759731defafef2 1 3 0
6496f9520fd95650 1 2 0
64ab476284e68eb7 3 5 2
6622a9dc0ecaace2 0 5 1
66e8c959c169bcdf 1 5 2
6717ffff1bf40aa1 2 4 1
6794831ee4fd046e 2 5 1
68393fa4c16d9ec9 1 3 2
68839f6e33a2a26d 0 4 1
68cda377db5fe50c 0 4 0
68f46b40dda18c79 1 5 0
691386129cc1fe27 5 1 4
691b80712ec6a8f3 3 4 4
6929cb3bbf4ef178 5 5 4
693a2a475f0ebf59 1 4 1
69a40cd8f7a3087e 1 1 0
69a86dd4fddedd3d 3 3 3
6a1584805369c306 3 2 2
6bbdc1d0e4efbfb3 3 2 2
6be6659d151dc5a8 1 5 2
6c78c56bea7750a1 0 4 1
6cb13540bc870651 0 3 0
6d015bb66564d28f 2 4 1
6d852404796cb92c 3 1 2
6dafedaf025a0610 1 3 2
6e6dd2d0b9284199 0 2 1
6e72e1bf0eba869d 0 5 1
6f30b49941307922 2 6 3
6f331237fb45f283 0 2 1
6ff02280fda761e6 1 4 0
7011cc68edca70aa 0 3 1
707832f5d43a69a4 6 5 7
709324ca9a9254ef 3 3 4
70b1c1fc1a47d2b4 2 3 3
70ba43812a6938c9 4 4 3
71a66020121350cb 0 5 0
71e058611484535d 0 5 1
72813cca6e86b873 0 4 0
729d2bd51150a5f3 2 3 1
7397f59815828c91 1 5 1
73c38fa964317ac1 2 0 1
73d3dd78406ea278 3 6 2
73d67165cd4826a4 1 4 0
743a4093a6b33ad8 2 6 1
74d759dd992c4d36 3 0 3
75054c247d7edffd 3 4 2
75a30ce293e69e64 3 5 2
75a4b189e37adea7 2 3 1
75a7cc0efa20f3e1 2 0 1
76945fac02b5cfd6 4 6 3
772795d10165a1cb 2 3 1
773168427ff774ad 2 3 1
77b65b62a91a39c9 4 5 3
78faac55a3a589f8 4 6 3
791e4773bc6092d4 0 4 0
79c13434bfccc56a 0 7 1
79fa9be3ff9cfcb4 2 3 1
7a0e3662a91b97db 1 5 2
7ab8469400a00550 3 7 2
7b376fcc024c1592 6 3 7
7ce67c1651b72e2e 5 5 4
7ce921c28533254c 4 6 3
7f24441ea1ae954c 0 3 0
8045593b0f88cb85 1 2 0
808dc9732e0352be 0 2 1
81022c71e63be204 3 2 2
814e8b479108593f 2 7 1
8263e9325d72423d 0 3 1
83037c82092ed84b 3 3 3
832f0a41828a26c7 1 2 0
851fbbbbd762637c 2 1 3
85b4bbf708b189b2 3 3 2
868fbe7d1b378c47 0 3 0
86abd6b29d937854 6 7 7
870927e6fa9bb89e 2 4 1
876285da5d88cc96 1 2 0
87df5a2a5b9dceb2 1 1 0
88235eb60700e3ae 2 6 1
887eec284425fc02 3 2 2
897501374a98b061 3 4 2
89b581260eca514a 2 5 1
8a445419d00aab6f 5 5 4
8a77836293221db1 2 5 1
8aef55dff8249db6 2 5 1
8b9cf726113eb4fc 4 2 3
8bd8de40222091dc 5 6 4
8c01d28b1a62f8c2 2 2 2
8dccbade18ec140d 0 0 1
8dce3556bc393fe4 1 4 0
8e077d821d732c73 2 6 3
8e85de002ea8a639 3 4 3
8f5ecb2a544ad078 2 2 1
8f7816eb62e791a9 0 1 1
8f83d65feccca92d 2 0 1
8fb592bfee77be45 6 3 5
906b7d599d39b42a 2 3 1
90bb48c047f8f647 1 3 1
90f3bb6ddd50cdde 5 4 4
916214dc79b2967c 1 2 0
917819b757d2f1d5 0 3 1
91a7efe88d8d49e1 1 4 1
91bec751e05b259c 2 1 1
925137e693ab69c5 2 6 1
92d18bfc649c5e1e 1 5 1
934ecddeaee4668f 1 5 0
936de94e6d915b10 2 5 1
93709ef3e0ece774 1 3 1
9385521fd8e1a212 5 5 4
941bc060d712d72e 0 3 0
94aa008e95615312 3 0 2
96472b055d29679d 0 4 0
9723cef8c7deee37 2 4 1
973b7d22673c80bb 1 5 0
976f130415402109 0 7 1
99319357b67c53b2 1 3 2
995e9afca5625c11 1 5 0
9981be847bf6902c 1 3 1
9a61b65bd6ee7494 5 6 4
9a746905310f2903 1 5 0
9a77a5931a17511d 1 6 2
9b2e7aa1069ee997 2 1 1
9b5fa2b618860650 4 4 3
9c4c421d7710d5f0 0 3 1
9e42cd453bedef2e 0 1 1
9ed6d40912a1774f 4 7 3
9f37b9c77490b15a 1 2 0
9f68504d43502378 4 1 3
a04a815c41084fa4 3 3 3
a0c2f5b7fd29b483 1 5 0
a102f2a0c963b738 0 3 1
a17d2e07b8c65648 1 6 0
a1fdc97423e4b023 0 1 1
a235e67a7f34d42d 2 0 1
a2e5d539038c1a74 4 3 4
a2fb2a58e2ef2111 3 6 2
a2fc7c5bf7d513b8 5 7 6
a3af955f09f43645 3 5 2
a3be3b29f64de7f5 2 6 1
a4f6f560c4c8bae1 0 4 1
a56e65667cc7314a 2 3 2
a627b60184415935 1 2 2
a638499f4f83ab8c 4 2 4
a665522b7dfddcba 1 4 2
a6eee54b7e61a187 1 3 0
a72c2a1d9e21c760 0 3 0
a756565a6278bdc8 2 7 1
a77b853d8eac9454 1 0 0
a7a05c21c57fea0f 6 1 5
a7aca8d5b50cfefa 0 3 0
a8d8dda2122311d8 3 4 2
aa54ed37df65d4c0 0 3 1
aafb1feef21ffe77 3 5 2
aaffc744435e5f1e 1 4 0
ab28887506445a93 5 6 4
ab8e5dd2fd340300 2 3 1
abcbe01a6c5bed9a 0 3 0
ac747f84e779e32c 1 0 0
acda909c62bd2610 2 5 1
ad07137720033d1d 1 6 0
ad8d1fd0baa01c40 0 4 0
af2c369957eb8b83 2 2 1
afa0970049160822 1 2 0
afb3ab35e6332413 5 4 4
afcd4f2911d761a1 4 1 3
b015af202306bae4 0 3 1
b07dff1b0aefbcb9 1 4 2
b0acf344c668b989 1 0 0
b0d31d222377f7dd 2 5 3
b1017115b0124bd0 2 4 1
b15479a830818a1e 1 3 0
b15cc711c3227737 1 2 0
b18c0926d6bc93b4 2 3 1
b1d0eba95618290c 1 5 0
b28630fb05f61a5d 6 5 7
b2864046966d1e77 0 0 1
b2a91b998ab16026 0 4 1
b4e236868963492c 4 6 3
b5a9a4238cbd4c77 3 2 2
b5aac39412c72458 1 3 0
b5d5c3d27969511e 3 5 2
b63ee047ddfc2488 4 6 3
b6cec1949464e282 1 2 0
b725191a88b6c746 2 4 1
b73f124ebd809269 1 0 0
b77a63eab8c46b6c 0 1 1
b8874a1ce0a43d0e 0 0 1
b99f81c1cca69d02 4 1 3
ba04ad080f5fcd4d 1 4 1
bb15a155faad2171 4 4 3
bb872f9d8d4ea58a 1 0 0
bbd8d71c34ae4dbd 0 6 1
bcacd8c960648517 1 4 2
bd3049aec019fcc4 3 4 2
bd6b04c1d9aa9c6e 5 1 4
bd7b020aded4145d 4 5 3
be1ea5cbb639350c 2 6 3
be5a393b52266074 2 1 3
be68c9d375281573 1 2 2
bf40972592564cb7 1 3 0
bf83e352f322f550 3 5 2
bfdac201c7adc39c 3 6 4
c01b0092b0bb17dc 7 6 6
c02789c6ba84c086 4 3 5
c0497a88a0c02507 0 4 0
c05595105f53a8dc 2 4 1
c0e044bb7269e110 2 4 3
c10596f5a77633f4 2 7 1
c1367a77d72a8ead 2 6 1
c1c550323cc537f0 3 5 2
c21555fc77f3ff13 1 6 0
c22db52a78460942 1 1 2
c3220f2f2b795f1d 0 4 0
c357cf71d491dd36 1 4 0
c35a664cba6bbf27 7 5 6
c38391235ec07569 0 3 0
c3b836b0410e6426 3 5 2
c3fdbbc6aef11540 4 5 3
c40cda9ba7aa2dae 5 6 6
c45b05868359b593 0 5 1
c4eb061fff9c1ffd 0 0 1
c5dd966832103769 1 6 0
c609e66f1a85279c 1 4 0
c60f30785bd4d4bf 0 3 0
c678acbd69bb2cb0 0 4 0
c72bced6ead33fb6 2 1 3
c84e4340c9e64bb3 0 1 1
c85e90e532634e40 4 1 3
