# book v1 (rank.exe bookgen)
# a (line owner): ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1
# b (target):     ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2
# board boards/board1.txt, max half-moves 60, A-won replays kept 25 of 32 (replay drift vs stored result: 12), entries 519, move conflicts 16
562156f337a257f1 2 3 2
566963f7c6c71c77 4 5 3
568aeccf6d5b4fea 2 3 1
56954bc98ead99ca 3 0 2
570f1536e8f74bfd 2 0 2
59b013da65510a3a 1 0 0
59e8d0bf145c16d0 1 3 2
5ac4b5806ca27100 5 0 4
5af2e862f76fbfe4 3 2 4
5af97f226cbb5a7d 2 1 1
5bd3c4bdf40838e0 2 4 2
5c3e47a4c21f3c8d 6 1 5
5c91fe7b790ebab7 1 4 1
5dc1132874780eba 2 2 1
5e9b1ab287656d87 4 1 4
600b5c31e37cb3ae 4 6 3
607f5a8b3e6e3701 4 6 3
60dfc4d60ac988cf 1 5 2
616ac6d4bcd1dfce 2 3 1
61a6b968f502d45c 1 3 0
62a6e9c49415849f 0 4 0
62b6e9123371b43c 1 2 1
630667a43bbdabd0 4 0 3
63da203318e38b46 2 4 1
641a05fcccc332f2 4 1 3
646504d7d5cef0f7 2 7 2
6551b9e80e702ded 1 7 2
66e697098dbb28cb 1 3 0
678e5cc8dc5b1576 2 2 1
68290d49b7502336 2 3 1
682fd79bce4cae9a 7 1 6
68488c8e38dc9749 2 3 1
69b29bc54c1b2909 6 1 5
69ba29ad22fb2d51 0 3 0
69c44b0ae6f20939 3 2 2
6a8347f4e027174f 2 3 1
6ac05672019c9838 3 4 2
6beed201442093fa 1 5 1
6d6cf0c6b5698d85 2 6 1
6df3fc3b7edc680b 1 5 1
6e357aaf167bf7de 4 0 3
6f430fea2f5bd3cb 3 5 2
6f6370391d573bde 5 0 4
6fba979247060ad8 3 2 2
6fbf8897db6aeba7 1 2 2
6fde5acf77c6acd8 2 4 2
70bf19575047ccb3 0 0 1
718d87edf8c8f889 3 2 4
726c75fee30db458 3 5 2
728811af1b1c3120 3 7 2
7461d948354394aa 2 7 1
748fb1c86f15eaf1 3 7 2
7491a6b095888cdc 2 0 1
74ee4eb200551f43 1 2 1
756162f754cd6d4d 3 4 2
758de3d235af9944 2 4 2
762a1e2b36d9366a 2 4 2
76fa6046a8a757a7 0 2 0
77a0d31600273f2f 4 6 3
77ee9ad9fe9b0fcd 0 5 1
78b154d73d6bbb3e 3 3 2
78b612213010c3e9 3 4 2
791cf544409286e2 1 5 0
7b57fc94b7d0715c 5 4 5
7ba2c643d7a63b65 3 7 3
7ccdb39645388c37 4 1 3
7d90c0513520fdfd 3 4 2
7e0e7bfae554fc9f 0 2 1
7e21539d0e4885a8 1 2 0
7f0999189a72cd3b 1 3 1
7fb564d9a9284e01 4 7 3
7fd8aa704adbdd5f 4 1 3
80091982178e122c 0 0 1
80b7920f7be4bb16 0 4 0
812c14848d4ce429 5 6 4
827ac30df386f53c 1 5 1
82d1999ef2865411 2 6 2
83045b7cd8c1e5bd 1 6 2
83d8cbc6e9396f80 1 2 0
84424344ae1fc0cf 0 0 1
85c6c84ccaf7a6d9 2 3 1
868c92e145ae42b5 3 0 2
869675f7e14d9062 4 1 3
87aba14c52ea1bc6 6 1 5
8897aa3fe4c9b182 3 3 2
88bd04776f47a372 0 2 0
893e6b46ebe3c3bc 3 1 2
89d136443218a04b 3 6 2
8a523f41634ee2a8 0 5 1
8a8586a27eb7a111 2 5 1
8b0d06eee32eae7e 1 7 2
8b32990958eb2e19 2 6 2
8b5ea733cb219eb0 1 6 0
8b8060d0f487986e 2 5 1
8bcc06b0bba4edc1 0 2 0
8c2034dff1402d62 0 3 0
8c385e291e392505 2 4 1
8c4d0e971fb9b769 0 2 1
8dfa52d8ff8546bc 4 2 3
8e0d05b9326c95b7 3 6 3
8e235ede34aa58a6 2 0 1
8ec83b606b25a098 4 6 3
8edfa3fd7ec9ab8e 3 7 2
8f4846fed95079ea 1 4 2
904d06cbabe4ec69 2 0 2
90b7d6bdd2c3f2df 5 6 4
90ef7c83096860a3 1 3 2
923d110c073aa706 3 1 2
925e9decf188f21a 1 3 2
94084141344d198e 2 4 1
94955deabbdb4158 2 4 2
949d9063a78184b4 2 3 1
