# Gumbel-Zero mlp/conv architecture sweep (round 6) opener-division follow-up: every non-REF rung=4000 checkpoint (45 mlp + 45 conv) wrapped with each of the 4 non-openless CHAMPION.md categories' openers.
# elo/games/cpu_ms_move columns are from a PINNED screening fit against ranking/roster_screening_pool.txt: screening only, not certification. gaz(...) is not category-eligible for a title (CHAMPION.md one-head rule) -- this ranks candidates for a possible future certification push, per division.
block	modeltype	category	elo	elo_pm	games	cpu_ms_move	full_agent_id
M7	mlp	4random	507	25	432	4.355	gaz(sims=400,cvisit=400,cscale=40,m=12)@1.learned(model=1437,bf4f1200,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1.opener(rand,moves=4)@1
M7	mlp	8random	378	29	432	3.365	gaz(sims=400,cvisit=400,cscale=40,m=12)@1.learned(model=1437,bf4f1200,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1.opener(rand,moves=8)@1
M8	mlp	4book	779	19	432	3.681	gaz(sims=500,cvisit=800,cscale=100,m=20)@1.learned(model=1441,b87f617b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(book,book=15)@1
M8	mlp	8book	832	19	432	3.718	gaz(sims=500,cvisit=800,cscale=100,m=20)@1.learned(model=1441,b87f617b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(book,book=16)@1
M8	mlp	4random	848	19	432	3.301	gaz(sims=500,cvisit=800,cscale=100,m=20)@1.learned(model=1441,b87f617b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(rand,moves=4)@1
M8	mlp	8random	710	20	432	2.525	gaz(sims=500,cvisit=800,cscale=100,m=20)@1.learned(model=1441,b87f617b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(rand,moves=8)@1
M9	mlp	4book	458	26	432	6.882	gaz(sims=300,cvisit=400,cscale=130,m=20)@1.learned(model=1445,132e4957,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1.opener(book,book=15)@1
M9	mlp	8book	462	26	432	6.620	gaz(sims=300,cvisit=400,cscale=130,m=20)@1.learned(model=1445,132e4957,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1.opener(book,book=16)@1
M9	mlp	4random	507	25	432	5.868	gaz(sims=300,cvisit=400,cscale=130,m=20)@1.learned(model=1445,132e4957,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1.opener(rand,moves=4)@1
M9	mlp	8random	397	29	432	4.279	gaz(sims=300,cvisit=400,cscale=130,m=20)@1.learned(model=1445,132e4957,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1.opener(rand,moves=8)@1
