# Gumbel-Zero mlp/conv architecture sweep (round 6) seed-replication follow-up: top 5 mlp blocks re-trained at 2 additional seeds each, same fixed cvisit/cscale/m per block.
# elo/games/cpu_ms_move/playstyle columns are from a PINNED screening fit against ranking/roster_screening_pool.txt: screening only, not certification.
# Generated by tools/export_cohort_results.ps1 from:
#   ledger:           D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\gumbelzero_arch_seedcheck.csv
#   pinned standings: D:\Downloads\Zeph\Board Games\Breakthrough\ranking\standings_screen_gzarchseed_pinned.tsv
#   pinned report:    D:\Downloads\Zeph\Board Games\Breakthrough\ranking\report_screen_gzarchseed_pinned.md
block	seed	modeltype	arch	sims	lr	l2	replaycap	replaywarm	batch	open	cvisit	cscale	m	rung	slot	model	elo	elo_pm	games	cpu_ms_move	wl_as_white	wl_as_black	avg_plies	end_piece_margin	eff_elo_per_log2cpu	nodes_per_move	search_head_id	model_id	full_agent_id
M14	18924	mlp	64	300	0.01	0	8000	128	128	8	600	100	12	1500	1780	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1780.txt	881	19	432	5.226	135-81	118-98	54	0.4	71	0	gaz(sims=300,cvisit=600,cscale=100,m=12)@1	learned(model=1780,b18d4de5,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	gaz(sims=300,cvisit=600,cscale=100,m=12)@1.learned(model=1780,b18d4de5,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1
M14	18924	mlp	64	300	0.01	0	8000	128	128	8	600	100	12	4000	1781	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1781.txt	939	19	432	5.052	133-83	149-67	55	0.4	76	0	gaz(sims=300,cvisit=600,cscale=100,m=12)@1	learned(model=1781,5c0320cd,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	gaz(sims=300,cvisit=600,cscale=100,m=12)@1.learned(model=1781,5c0320cd,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1
M14	28924	mlp	64	300	0.01	0	8000	128	128	8	600	100	12	100	1782	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1782.txt	609	22	432	5.229	62-154	67-149	51	-1.0	49	0	gaz(sims=300,cvisit=600,cscale=100,m=12)@1	learned(model=1782,3034c323,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	gaz(sims=300,cvisit=600,cscale=100,m=12)@1.learned(model=1782,3034c323,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1
M14	28924	mlp	64	300	0.01	0	8000	128	128	8	600	100	12	400	1783	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1783.txt	724	20	432	5.234	100-116	76-140	51	-0.1	59	0	gaz(sims=300,cvisit=600,cscale=100,m=12)@1	learned(model=1783,00bf1839,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	gaz(sims=300,cvisit=600,cscale=100,m=12)@1.learned(model=1783,00bf1839,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1
M14	28924	mlp	64	300	0.01	0	8000	128	128	8	600	100	12	1500	1784	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1784.txt	911	19	432	5.054	133-83	135-81	51	0.3	74	0	gaz(sims=300,cvisit=600,cscale=100,m=12)@1	learned(model=1784,4ac5d34c,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	gaz(sims=300,cvisit=600,cscale=100,m=12)@1.learned(model=1784,4ac5d34c,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1
M14	28924	mlp	64	300	0.01	0	8000	128	128	8	600	100	12	4000	1785	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1785.txt	925	19	432	5.355	142-74	133-83	57	0.6	75	0	gaz(sims=300,cvisit=600,cscale=100,m=12)@1	learned(model=1785,1e0f3d79,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	gaz(sims=300,cvisit=600,cscale=100,m=12)@1.learned(model=1785,1e0f3d79,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1
M39	18949	mlp	32	500	0.003	0	2000	32	8	0	400	70	12	100	1786	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1786.txt	517	24	432	5.314	41-175	58-158	43	-1.6	42	0	gaz(sims=500,cvisit=400,cscale=70,m=12)@1	learned(model=1786,eb831e88,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1786,eb831e88,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M39	18949	mlp	32	500	0.003	0	2000	32	8	0	400	70	12	400	1787	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1787.txt	697	20	432	4.918	79-137	85-131	47	-0.9	57	0	gaz(sims=500,cvisit=400,cscale=70,m=12)@1	learned(model=1787,ee389e75,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1787,ee389e75,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M39	18949	mlp	32	500	0.003	0	2000	32	8	0	400	70	12	1500	1788	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1788.txt	830	19	432	5.263	83-133	144-72	58	0.8	67	0	gaz(sims=500,cvisit=400,cscale=70,m=12)@1	learned(model=1788,cad28564,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1788,cad28564,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M39	18949	mlp	32	500	0.003	0	2000	32	8	0	400	70	12	4000	1789	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1789.txt	862	19	432	5.234	110-106	133-83	56	0.3	70	0	gaz(sims=500,cvisit=400,cscale=70,m=12)@1	learned(model=1789,d56d709d,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1789,d56d709d,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M39	28949	mlp	32	500	0.003	0	2000	32	8	0	400	70	12	100	1790	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1790.txt	589	22	432	4.946	56-160	66-150	47	-1.4	48	0	gaz(sims=500,cvisit=400,cscale=70,m=12)@1	learned(model=1790,86ee1c4c,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1790,86ee1c4c,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M39	28949	mlp	32	500	0.003	0	2000	32	8	0	400	70	12	400	1791	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1791.txt	687	20	432	5.027	70-146	90-126	46	-1.2	56	0	gaz(sims=500,cvisit=400,cscale=70,m=12)@1	learned(model=1791,55c6e4db,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1791,55c6e4db,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
