# Gumbel-Zero mlp/conv architecture sweep (round 6) conv-capacity follow-up: C15's exact recipe (round 6's best conv checkpoint, 806 Elo) crossed with FC head {none,32} x policy head {linear,mlp} x 3 seeds.
# elo/games/cpu_ms_move/playstyle columns are from a PINNED screening fit against ranking/roster_screening_pool.txt: screening only, not certification.
# Generated by tools/export_cohort_results.ps1 from:
#   ledger:           D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\gumbelzero_conv_capacity.csv
#   pinned standings: D:\Downloads\Zeph\Board Games\Breakthrough\ranking\standings_screen_gzconvcap_pinned.tsv
#   pinned report:    D:\Downloads\Zeph\Board Games\Breakthrough\ranking\report_screen_gzconvcap_pinned.md
block	seed	modeltype	convchannels	mlphidden	policymlp	sims	lr	l2	replaycap	replaywarm	batch	open	cvisit	cscale	m	rung	slot	model	elo	elo_pm	games	cpu_ms_move	wl_as_white	wl_as_black	avg_plies	end_piece_margin	eff_elo_per_log2cpu	nodes_per_move	search_head_id	model_id	full_agent_id
conv_noFC_linPolicy	28975	conv	16,16,16		False	300	0.003	0	500	16	8	0	400	70	16	1500	1820	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1820.txt	775	19	432	73.978	87-129	113-103	50	0.2	48	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1820,b2c50af5,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1820,b2c50af5,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_noFC_linPolicy	28975	conv	16,16,16		False	300	0.003	0	500	16	8	0	400	70	16	4000	1821	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1821.txt	690	20	432	74.524	78-138	83-133	52	0.3	43	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1821,9d566689,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1821,9d566689,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_noFC_mlpPolicy	8975	conv	16,16,16		True	300	0.003	0	500	16	8	0	400	70	16	100	1822	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1822.txt	569	23	432	74.003	47-169	68-148	44	-1.3	35	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1822,d68b6ee0,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1822,d68b6ee0,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1
conv_noFC_mlpPolicy	8975	conv	16,16,16		True	300	0.003	0	500	16	8	0	400	70	16	400	1823	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1823.txt	699	20	432	72.304	91-125	74-142	49	-0.8	43	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1823,1cf769bf,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1823,1cf769bf,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1
conv_noFC_mlpPolicy	8975	conv	16,16,16		True	300	0.003	0	500	16	8	0	400	70	16	1500	1824	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1824.txt	765	19	432	74.665	91-125	104-112	56	-0.3	47	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1824,abefb0b8,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1824,abefb0b8,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1
conv_noFC_mlpPolicy	8975	conv	16,16,16		True	300	0.003	0	500	16	8	0	400	70	16	4000	1825	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1825.txt	796	19	432	73.701	103-113	107-109	51	-0.4	49	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1825,b7f02a50,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1825,b7f02a50,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1
conv_noFC_mlpPolicy	18975	conv	16,16,16		True	300	0.003	0	500	16	8	0	400	70	16	100	1826	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1826.txt	631	21	432	73.889	69-147	68-148	46	-1.6	39	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1826,964af68c,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1826,964af68c,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1
conv_noFC_mlpPolicy	18975	conv	16,16,16		True	300	0.003	0	500	16	8	0	400	70	16	400	1827	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1827.txt	623	22	432	74.251	65-151	69-147	52	-0.7	38	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1827,4b1f3332,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1827,4b1f3332,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1
conv_noFC_mlpPolicy	18975	conv	16,16,16		True	300	0.003	0	500	16	8	0	400	70	16	1500	1828	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1828.txt	812	19	432	74.391	107-109	111-105	51	-0.3	50	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1828,a464277f,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1828,a464277f,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1
conv_noFC_mlpPolicy	18975	conv	16,16,16		True	300	0.003	0	500	16	8	0	400	70	16	4000	1829	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1829.txt	842	19	432	74.265	120-96	113-103	53	-0.5	52	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1829,47bfe73b,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1829,47bfe73b,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1
