# Gumbel-Zero mlp/conv architecture sweep, follow-up round to plans/gumbel-mcts-results-5-violet-harbor.md (linear only). One row per checkpoint.
# modeltype/arch columns are the drawn --model-type and --mlp-hidden (mlp)/--conv-channels (conv) values. conv's own FC head (--mlp-hidden) is fixed empty this round, not swept.
# cvisit/cscale/m columns are RATING-time search shape only (the gaz(...) serving head). Training self-play never reads them, same as results-5.
# elo/games/cpu_ms_move/playstyle columns are from a PINNED screening fit against ranking/roster_screening_pool.txt (Docs/ranking-workflow.md Workflow A):
# screening only, not certification.
# Generated by tools/export_cohort_results.ps1 from:
#   ledger:           D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\gumbelzero_arch_study.csv
#   pinned standings: D:\Downloads\Zeph\Board Games\Breakthrough\ranking\standings_screen_gzarch_pinned.tsv
#   pinned report:    D:\Downloads\Zeph\Board Games\Breakthrough\ranking\report_screen_gzarch_pinned.md
block	seed	modeltype	arch	sims	lr	l2	replaycap	replaywarm	batch	open	cvisit	cscale	m	rung	slot	model	elo	elo_pm	games	cpu_ms_move	wl_as_white	wl_as_black	avg_plies	end_piece_margin	eff_elo_per_log2cpu	nodes_per_move	search_head_id	model_id	full_agent_id
M1	8911	mlp	32	300	0.01	0.001	500	16	8	0	400	130	8	1500	1412	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1412.txt	636	21	432	3.877	75-141	64-152	46	-0.8	53	0	gaz(sims=300,cvisit=400,cscale=130,m=8)@1	learned(model=1412,b75455d8,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=130,m=8)@1.learned(model=1412,b75455d8,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M1	8911	mlp	32	300	0.01	0.001	500	16	8	0	400	130	8	4000	1413	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1413.txt	615	22	432	3.962	56-160	75-141	48	-1.1	51	0	gaz(sims=300,cvisit=400,cscale=130,m=8)@1	learned(model=1413,46d7f028,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=130,m=8)@1.learned(model=1413,46d7f028,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M2	8912	mlp	16	300	0.01	0.0003	8000	128	32	8	400	100	8	100	1414	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1414.txt	628	21	432	2.306	59-157	77-139	50	-0.9	56	0	gaz(sims=300,cvisit=400,cscale=100,m=8)@1	learned(model=1414,86283f5c,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=300,cvisit=400,cscale=100,m=8)@1.learned(model=1414,86283f5c,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1
M2	8912	mlp	16	300	0.01	0.0003	8000	128	32	8	400	100	8	400	1415	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1415.txt	758	19	432	2.097	93-123	99-117	48	-0.5	69	0	gaz(sims=300,cvisit=400,cscale=100,m=8)@1	learned(model=1415,748a0d7a,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=300,cvisit=400,cscale=100,m=8)@1.learned(model=1415,748a0d7a,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1
M2	8912	mlp	16	300	0.01	0.0003	8000	128	32	8	400	100	8	1500	1416	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1416.txt	822	19	432	2.418	109-107	114-102	48	0.9	73	0	gaz(sims=300,cvisit=400,cscale=100,m=8)@1	learned(model=1416,ff6ec358,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=300,cvisit=400,cscale=100,m=8)@1.learned(model=1416,ff6ec358,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1
M2	8912	mlp	16	300	0.01	0.0003	8000	128	32	8	400	100	8	4000	1417	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1417.txt	783	19	432	2.542	103-113	101-115	55	0.1	69	0	gaz(sims=300,cvisit=400,cscale=100,m=8)@1	learned(model=1417,ee1f2e3b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=300,cvisit=400,cscale=100,m=8)@1.learned(model=1417,ee1f2e3b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1
M3	8913	mlp	32	400	0.003	0	2000	32	32	8	600	100	16	100	1418	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1418.txt	534	24	432	4.116	57-159	47-169	49	-1.4	44	0	gaz(sims=400,cvisit=600,cscale=100)@1	learned(model=1418,97a2b781,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=600,cscale=100)@1.learned(model=1418,97a2b781,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M3	8913	mlp	32	400	0.003	0	2000	32	32	8	600	100	16	400	1419	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1419.txt	798	19	432	4.079	111-105	100-116	49	-0.2	66	0	gaz(sims=400,cvisit=600,cscale=100)@1	learned(model=1419,6bee78c6,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=600,cscale=100)@1.learned(model=1419,6bee78c6,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M3	8913	mlp	32	400	0.003	0	2000	32	32	8	600	100	16	1500	1420	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1420.txt	798	19	432	4.169	121-95	90-126	56	0.4	66	0	gaz(sims=400,cvisit=600,cscale=100)@1	learned(model=1420,6a9214eb,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=600,cscale=100)@1.learned(model=1420,6a9214eb,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M3	8913	mlp	32	400	0.003	0	2000	32	32	8	600	100	16	4000	1421	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1421.txt	834	19	432	4.126	111-105	118-98	58	0.1	69	0	gaz(sims=400,cvisit=600,cscale=100)@1	learned(model=1421,39543436,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=600,cscale=100)@1.learned(model=1421,39543436,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M4	8914	mlp	16	300	0.003	0.0003	500	16	8	0	600	70	12	100	1422	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1422.txt	572	23	432	1.959	58-158	58-158	43	-1.3	52	0	gaz(sims=300,cvisit=600,cscale=70,m=12)@1	learned(model=1422,469c1f8a,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=300,cvisit=600,cscale=70,m=12)@1.learned(model=1422,469c1f8a,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1
M4	8914	mlp	16	300	0.003	0.0003	500	16	8	0	600	70	12	400	1423	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1423.txt	615	22	432	1.967	74-142	57-159	44	-1.3	56	0	gaz(sims=300,cvisit=600,cscale=70,m=12)@1	learned(model=1423,2024feb2,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=300,cvisit=600,cscale=70,m=12)@1.learned(model=1423,2024feb2,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1
M4	8914	mlp	16	300	0.003	0.0003	500	16	8	0	600	70	12	1500	1424	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1424.txt	699	20	432	1.955	84-132	81-135	48	-0.2	64	0	gaz(sims=300,cvisit=600,cscale=70,m=12)@1	learned(model=1424,7e114207,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=300,cvisit=600,cscale=70,m=12)@1.learned(model=1424,7e114207,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1
M4	8914	mlp	16	300	0.003	0.0003	500	16	8	0	600	70	12	4000	1425	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1425.txt	814	19	432	1.974	106-110	113-103	51	0.1	74	0	gaz(sims=300,cvisit=600,cscale=70,m=12)@1	learned(model=1425,e9871d6b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=300,cvisit=600,cscale=70,m=12)@1.learned(model=1425,e9871d6b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1
M5	8915	mlp	64,32	300	0.03	0.0003	500	16	8	4	400	40	12	100	1426	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1426.txt	544	24	432	13.335	63-153	44-172	44	-1.5	40	0	gaz(sims=300,cvisit=400,cscale=40,m=12)@1	learned(model=1426,ec9d066d,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=300,cvisit=400,cscale=40,m=12)@1.learned(model=1426,ec9d066d,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1
M5	8915	mlp	64,32	300	0.03	0.0003	500	16	8	4	400	40	12	400	1427	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1427.txt	651	21	432	13.476	81-135	64-152	46	-0.7	47	0	gaz(sims=300,cvisit=400,cscale=40,m=12)@1	learned(model=1427,505af8d6,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=300,cvisit=400,cscale=40,m=12)@1.learned(model=1427,505af8d6,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1
M5	8915	mlp	64,32	300	0.03	0.0003	500	16	8	4	400	40	12	1500	1428	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1428.txt	631	21	432	13.609	68-148	69-147	44	-1.2	46	0	gaz(sims=300,cvisit=400,cscale=40,m=12)@1	learned(model=1428,a1e767a8,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=300,cvisit=400,cscale=40,m=12)@1.learned(model=1428,a1e767a8,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1
M5	8915	mlp	64,32	300	0.03	0.0003	500	16	8	4	400	40	12	4000	1429	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1429.txt	612	22	432	13.705	58-158	72-144	44	-1.3	45	0	gaz(sims=300,cvisit=400,cscale=40,m=12)@1	learned(model=1429,ae02766a,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=300,cvisit=400,cscale=40,m=12)@1.learned(model=1429,ae02766a,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1
M6	8916	mlp	32	400	0.003	0	2000	32	32	8	400	70	8	100	1430	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1430.txt	514	25	432	4.042	47-169	51-165	45	-1.2	43	0	gaz(sims=400,cvisit=400,cscale=70,m=8)@1	learned(model=1430,0cc5799b,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=8)@1.learned(model=1430,0cc5799b,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M6	8916	mlp	32	400	0.003	0	2000	32	32	8	400	70	8	400	1431	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1431.txt	769	19	432	4.088	96-120	101-115	50	0.7	64	0	gaz(sims=400,cvisit=400,cscale=70,m=8)@1	learned(model=1431,95616023,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=8)@1.learned(model=1431,95616023,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M6	8916	mlp	32	400	0.003	0	2000	32	32	8	400	70	8	1500	1432	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1432.txt	765	19	432	4.297	92-124	103-113	57	-0.1	63	0	gaz(sims=400,cvisit=400,cscale=70,m=8)@1	learned(model=1432,898fa646,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=8)@1.learned(model=1432,898fa646,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
