# Gumbel-Zero joint training x search-shape sweep (plans/gumbel-mcts-results-5-violet-harbor.md). One row per checkpoint (404 total: 101 draws x 4 rungs).
# cvisit/cscale/m columns are RATING-time search shape only (the gaz(...) serving head). Training self-play never reads them: ml_gumbelzero.cpp calls
# gumbelSearch() directly and never touches g_gumbelCVisit/g_gumbelCScale/g_gumbelRootM, so every row's actual self-play search shape is the fixed engine
# default (cvisit=50, cscale=1.0, m=16), regardless of the swept cvisit/cscale/m values below.
# elo/games/cpu_ms_move/playstyle columns are from a PINNED screening fit against ranking/roster_screening_pool.txt (Docs/ranking-workflow.md Workflow A):
# screening only, not certification -- see the results doc's Caveats section before treating any single row's Elo as a reliable ranking.
# Generated by tools/export_cohort_results.ps1 from:
#   ledger:           D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\gumbelzero_joint_study.csv
#   pinned standings: D:\Downloads\Zeph\Board Games\Breakthrough\ranking\standings_screen_gzjoint_pinned.tsv
#   pinned report:    D:\Downloads\Zeph\Board Games\Breakthrough\ranking\report_screen_gzjoint_pinned.md
block	seed	sims	lr	l2	replaycap	replaywarm	batch	open	cvisit	cscale	m	rung	slot	model	elo	elo_pm	games	cpu_ms_move	wl_as_white	wl_as_black	avg_plies	end_piece_margin	eff_elo_per_log2cpu	nodes_per_move	search_head_id	model_id	full_agent_id
R2	8802	300	0.003	0.001	2000	32	32	4	600	40	16	1500	1008	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1008.txt	572	23	432	0.682	61-155	55-161	41	-0.7	61	0	gaz(sims=300,cvisit=600,cscale=40)@1	learned(model=1008,aec821ee,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=40)@1.learned(model=1008,aec821ee,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R2	8802	300	0.003	0.001	2000	32	32	4	600	40	16	4000	1009	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1009.txt	581	23	432	0.776	69-147	50-166	44	-1.1	60	0	gaz(sims=300,cvisit=600,cscale=40)@1	learned(model=1009,cb7ebdc4,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=40)@1.learned(model=1009,cb7ebdc4,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R3	8803	300	0.01	0.001	2000	32	8	0	1000	70	12	100	1010	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1010.txt	557	23	432	0.903	54-162	57-159	40	-1.2	57	0	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1	learned(model=1010,38ffec50,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1.learned(model=1010,38ffec50,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R3	8803	300	0.01	0.001	2000	32	8	0	1000	70	12	400	1011	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1011.txt	531	24	432	0.995	54-162	49-167	44	-1.2	53	0	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1	learned(model=1011,460b3486,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1.learned(model=1011,460b3486,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R3	8803	300	0.01	0.001	2000	32	8	0	1000	70	12	1500	1012	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1012.txt	489	25	432	1.039	39-177	52-164	44	-0.8	49	0	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1	learned(model=1012,a5c32473,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1.learned(model=1012,a5c32473,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R3	8803	300	0.01	0.001	2000	32	8	0	1000	70	12	4000	1013	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1013.txt	466	26	432	0.956	34-182	51-165	43	-0.9	47	0	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1	learned(model=1013,7271997d,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1.learned(model=1013,7271997d,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R4	8804	500	0.03	0	8000	128	128	8	400	70	20	100	1014	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1014.txt	671	20	432	2.017	78-138	75-141	53	-0.1	61	0	gaz(sims=500,cvisit=400,cscale=70,m=20)@1	learned(model=1014,dba46fca,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=20)@1.learned(model=1014,dba46fca,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R4	8804	500	0.03	0	8000	128	128	8	400	70	20	400	1015	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1015.txt	777	19	432	1.879	95-121	106-110	52	1.1	71	0	gaz(sims=500,cvisit=400,cscale=70,m=20)@1	learned(model=1015,a13dff8a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=20)@1.learned(model=1015,a13dff8a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R4	8804	500	0.03	0	8000	128	128	8	400	70	20	1500	1016	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1016.txt	733	19	432	1.635	84-132	96-120	57	1.6	69	0	gaz(sims=500,cvisit=400,cscale=70,m=20)@1	learned(model=1016,b66d6f6e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=20)@1.learned(model=1016,b66d6f6e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R4	8804	500	0.03	0	8000	128	128	8	400	70	20	4000	1017	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1017.txt	701	20	432	1.495	107-109	59-157	55	1.5	66	0	gaz(sims=500,cvisit=400,cscale=70,m=20)@1	learned(model=1017,2e3a2d4d,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=20)@1.learned(model=1017,2e3a2d4d,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
