# Gumbel-Zero joint training x search-shape sweep (plans/gumbel-mcts-results-5-violet-harbor.md). One row per checkpoint (404 total: 101 draws x 4 rungs).
# cvisit/cscale/m columns are RATING-time search shape only (the gaz(...) serving head). Training self-play never reads them: ml_gumbelzero.cpp calls
# gumbelSearch() directly and never touches g_gumbelCVisit/g_gumbelCScale/g_gumbelRootM, so every row's actual self-play search shape is the fixed engine
# default (cvisit=50, cscale=1.0, m=16), regardless of the swept cvisit/cscale/m values below.
# elo/games/cpu_ms_move/playstyle columns are from a PINNED screening fit against ranking/roster_screening_pool.txt (Docs/ranking-workflow.md Workflow A):
# screening only, not certification -- see the results doc's Caveats section before treating any single row's Elo as a reliable ranking.
# Generated by tools/export_cohort_results.ps1 from:
#   ledger:           D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\gumbelzero_joint_study.csv
#   pinned standings: D:\Downloads\Zeph\Board Games\Breakthrough\ranking\standings_screen_gzjoint_pinned.tsv
#   pinned report:    D:\Downloads\Zeph\Board Games\Breakthrough\ranking\report_screen_gzjoint_pinned.md
block	seed	sims	lr	l2	replaycap	replaywarm	batch	open	cvisit	cscale	m	rung	slot	model	elo	elo_pm	games	cpu_ms_move	wl_as_white	wl_as_black	avg_plies	end_piece_margin	eff_elo_per_log2cpu	nodes_per_move	search_head_id	model_id	full_agent_id
R10	8810	300	0.01	0	8000	128	128	4	400	70	12	100	1038	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1038.txt	587	22	432	1.130	67-149	54-162	47	-0.2	58	0	gaz(sims=300,cvisit=400,cscale=70,m=12)@1	learned(model=1038,27c779dd,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70,m=12)@1.learned(model=1038,27c779dd,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R10	8810	300	0.01	0	8000	128	128	4	400	70	12	400	1039	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1039.txt	739	19	432	0.914	101-115	82-134	51	0.6	75	0	gaz(sims=300,cvisit=400,cscale=70,m=12)@1	learned(model=1039,fd8785d6,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70,m=12)@1.learned(model=1039,fd8785d6,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R10	8810	300	0.01	0	8000	128	128	4	400	70	12	1500	1040	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1040.txt	737	19	432	0.937	83-133	99-117	51	0.6	75	0	gaz(sims=300,cvisit=400,cscale=70,m=12)@1	learned(model=1040,87f344b5,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70,m=12)@1.learned(model=1040,87f344b5,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R10	8810	300	0.01	0	8000	128	128	4	400	70	12	4000	1041	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1041.txt	584	22	432	0.849	58-158	62-154	50	-0.5	60	0	gaz(sims=300,cvisit=400,cscale=70,m=12)@1	learned(model=1041,4dcdcb4f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70,m=12)@1.learned(model=1041,4dcdcb4f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R11	8811	300	0.01	0.001	500	16	8	4	600	130	16	100	1042	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1042.txt	514	25	432	0.803	46-170	52-164	39	-1.2	53	0	gaz(sims=300,cvisit=600,cscale=130)@1	learned(model=1042,ecd9e829,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=130)@1.learned(model=1042,ecd9e829,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R11	8811	300	0.01	0.001	500	16	8	4	600	130	16	400	1043	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1043.txt	557	23	432	0.692	58-158	53-163	39	-1.1	59	0	gaz(sims=300,cvisit=600,cscale=130)@1	learned(model=1043,a7afe17d,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=130)@1.learned(model=1043,a7afe17d,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R11	8811	300	0.01	0.001	500	16	8	4	600	130	16	1500	1044	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1044.txt	550	23	432	0.838	52-164	57-159	41	-1.1	57	0	gaz(sims=300,cvisit=600,cscale=130)@1	learned(model=1044,990a8cac,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=130)@1.learned(model=1044,990a8cac,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R11	8811	300	0.01	0.001	500	16	8	4	600	130	16	4000	1045	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1045.txt	560	23	432	0.784	44-172	68-148	41	-0.9	58	0	gaz(sims=300,cvisit=600,cscale=130)@1	learned(model=1045,d98c545a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=130)@1.learned(model=1045,d98c545a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R12	8812	300	0.003	0.0003	2000	32	128	8	1000	70	12	100	1046	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1046.txt	521	24	432	1.096	62-154	38-178	45	-1.0	52	0	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1	learned(model=1046,62d29bde,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1.learned(model=1046,62d29bde,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R12	8812	300	0.003	0.0003	2000	32	128	8	1000	70	12	400	1047	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1047.txt	628	21	432	0.830	79-137	57-159	46	-0.5	65	0	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1	learned(model=1047,aa42b31e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1.learned(model=1047,aa42b31e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R12	8812	300	0.003	0.0003	2000	32	128	8	1000	70	12	1500	1048	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1048.txt	628	21	432	0.944	86-130	50-166	46	-0.5	64	0	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1	learned(model=1048,4906cbc2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1.learned(model=1048,4906cbc2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R12	8812	300	0.003	0.0003	2000	32	128	8	1000	70	12	4000	1049	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1049.txt	587	22	432	0.996	74-142	47-169	46	-0.5	59	0	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1	learned(model=1049,f82a625b,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1.learned(model=1049,f82a625b,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R13	8813	400	0.03	0.001	8000	128	128	0	400	70	12	100	1050	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1050.txt	507	25	432	1.232	66-150	30-186	40	-0.9	49	0	gaz(sims=400,cvisit=400,cscale=70,m=12)@1	learned(model=1050,adf11260,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=12)@1.learned(model=1050,adf11260,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R13	8813	400	0.03	0.001	8000	128	128	0	400	70	12	400	1051	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1051.txt	615	22	432	1.087	72-144	59-157	41	-0.5	61	0	gaz(sims=400,cvisit=400,cscale=70,m=12)@1	learned(model=1051,e30f9976,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=12)@1.learned(model=1051,e30f9976,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R13	8813	400	0.03	0.001	8000	128	128	0	400	70	12	1500	1052	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1052.txt	598	22	432	1.049	68-148	57-159	40	-0.8	60	0	gaz(sims=400,cvisit=400,cscale=70,m=12)@1	learned(model=1052,0b2ca037,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=12)@1.learned(model=1052,0b2ca037,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R13	8813	400	0.03	0.001	8000	128	128	0	400	70	12	4000	1053	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1053.txt	569	23	432	1.075	66-150	49-167	42	-0.8	56	0	gaz(sims=400,cvisit=400,cscale=70,m=12)@1	learned(model=1053,468ea5ef,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=12)@1.learned(model=1053,468ea5ef,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R14	8814	500	0.01	0.0003	2000	32	8	4	1000	100	20	100	1054	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1054.txt	537	24	432	1.885	50-166	55-161	49	-1.0	49	0	gaz(sims=500,cvisit=1000,cscale=100,m=20)@1	learned(model=1054,ef6e6de7,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=100,m=20)@1.learned(model=1054,ef6e6de7,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R14	8814	500	0.01	0.0003	2000	32	8	4	1000	100	20	400	1055	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1055.txt	462	26	432	1.633	31-185	53-163	46	-1.0	43	0	gaz(sims=500,cvisit=1000,cscale=100,m=20)@1	learned(model=1055,e27b1255,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=100,m=20)@1.learned(model=1055,e27b1255,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R14	8814	500	0.01	0.0003	2000	32	8	4	1000	100	20	1500	1056	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1056.txt	592	22	432	1.551	57-159	66-150	46	-0.8	56	0	gaz(sims=500,cvisit=1000,cscale=100,m=20)@1	learned(model=1056,5ada8816,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=100,m=20)@1.learned(model=1056,5ada8816,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R14	8814	500	0.01	0.0003	2000	32	8	4	1000	100	20	4000	1057	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1057.txt	612	22	432	1.658	54-162	76-140	47	-1.0	57	0	gaz(sims=500,cvisit=1000,cscale=100,m=20)@1	learned(model=1057,aca247cd,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=100,m=20)@1.learned(model=1057,aca247cd,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R15	8815	400	0.003	0.0003	2000	32	32	4	600	70	8	100	1058	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1058.txt	598	22	432	1.327	78-138	47-169	44	-0.7	58	0	gaz(sims=400,cvisit=600,cscale=70,m=8)@1	learned(model=1058,4f54fcc1,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=600,cscale=70,m=8)@1.learned(model=1058,4f54fcc1,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R15	8815	400	0.003	0.0003	2000	32	32	4	600	70	8	400	1059	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1059.txt	584	22	432	1.136	74-142	46-170	45	-0.8	57	0	gaz(sims=400,cvisit=600,cscale=70,m=8)@1	learned(model=1059,267bcc6a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=600,cscale=70,m=8)@1.learned(model=1059,267bcc6a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R15	8815	400	0.003	0.0003	2000	32	32	4	600	70	8	1500	1060	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1060.txt	572	23	432	1.217	74-142	42-174	46	-0.7	56	0	gaz(sims=400,cvisit=600,cscale=70,m=8)@1	learned(model=1060,85a64702,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=600,cscale=70,m=8)@1.learned(model=1060,85a64702,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R15	8815	400	0.003	0.0003	2000	32	32	4	600	70	8	4000	1061	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1061.txt	589	22	432	1.225	67-149	55-161	45	-0.7	57	0	gaz(sims=400,cvisit=600,cscale=70,m=8)@1	learned(model=1061,0a003a70,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=600,cscale=70,m=8)@1.learned(model=1061,0a003a70,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R16	8816	400	0.01	0.0003	500	16	32	4	400	70	20	100	1062	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1062.txt	462	26	432	1.254	28-188	56-160	43	-0.9	45	0	gaz(sims=400,cvisit=400,cscale=70,m=20)@1	learned(model=1062,972f2877,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=20)@1.learned(model=1062,972f2877,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R16	8816	400	0.01	0.0003	500	16	32	4	400	70	20	400	1063	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1063.txt	595	22	432	1.052	55-161	69-147	44	-0.8	59	0	gaz(sims=400,cvisit=400,cscale=70,m=20)@1	learned(model=1063,937f6d87,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=20)@1.learned(model=1063,937f6d87,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R16	8816	400	0.01	0.0003	500	16	32	4	400	70	20	1500	1064	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1064.txt	581	23	432	1.130	51-165	68-148	44	-0.6	57	0	gaz(sims=400,cvisit=400,cscale=70,m=20)@1	learned(model=1064,fd42b025,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=20)@1.learned(model=1064,fd42b025,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R16	8816	400	0.01	0.0003	500	16	32	4	400	70	20	4000	1065	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1065.txt	521	24	432	1.054	42-174	58-158	44	-1.0	52	0	gaz(sims=400,cvisit=400,cscale=70,m=20)@1	learned(model=1065,2a53354f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=20)@1.learned(model=1065,2a53354f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R17	8817	400	0.003	0	2000	32	128	8	400	130	8	100	1066	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1066.txt	537	24	432	1.553	65-151	40-176	48	-1.0	51	0	gaz(sims=400,cvisit=400,cscale=130,m=8)@1	learned(model=1066,b28ad1ff,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=130,m=8)@1.learned(model=1066,b28ad1ff,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R17	8817	400	0.003	0	2000	32	128	8	400	130	8	400	1067	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1067.txt	752	19	432	1.390	107-109	82-134	48	-0.1	72	0	gaz(sims=400,cvisit=400,cscale=130,m=8)@1	learned(model=1067,f56b0ec9,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=130,m=8)@1.learned(model=1067,f56b0ec9,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R17	8817	400	0.003	0	2000	32	128	8	400	130	8	1500	1068	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1068.txt	566	23	432	1.381	31-185	83-133	50	1.0	54	0	gaz(sims=400,cvisit=400,cscale=130,m=8)@1	learned(model=1068,1a90fb9a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=130,m=8)@1.learned(model=1068,1a90fb9a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R17	8817	400	0.003	0	2000	32	128	8	400	130	8	4000	1069	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1069.txt	722	20	432	1.639	101-115	74-142	52	0.7	68	0	gaz(sims=400,cvisit=400,cscale=130,m=8)@1	learned(model=1069,5d6c616a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=130,m=8)@1.learned(model=1069,5d6c616a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R18	8818	500	0.003	0.001	500	16	32	0	1000	40	20	100	1070	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1070.txt	581	23	432	1.493	57-159	62-154	43	-0.9	55	0	gaz(sims=500,cvisit=1000,cscale=40,m=20)@1	learned(model=1070,8d4cc03a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=40,m=20)@1.learned(model=1070,8d4cc03a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R18	8818	500	0.003	0.001	500	16	32	0	1000	40	20	400	1071	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1071.txt	496	25	432	1.404	42-174	51-165	43	-1.0	47	0	gaz(sims=500,cvisit=1000,cscale=40,m=20)@1	learned(model=1071,2b31b7c5,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=40,m=20)@1.learned(model=1071,2b31b7c5,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R18	8818	500	0.003	0.001	500	16	32	0	1000	40	20	1500	1072	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1072.txt	566	23	432	1.570	46-170	68-148	43	-1.1	53	0	gaz(sims=500,cvisit=1000,cscale=40,m=20)@1	learned(model=1072,a623b495,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=40,m=20)@1.learned(model=1072,a623b495,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R18	8818	500	0.003	0.001	500	16	32	0	1000	40	20	4000	1073	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1073.txt	550	23	432	1.515	46-170	63-153	44	-1.1	52	0	gaz(sims=500,cvisit=1000,cscale=40,m=20)@1	learned(model=1073,d016c01e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=40,m=20)@1.learned(model=1073,d016c01e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R19	8819	400	0.03	0.0003	500	16	32	4	400	130	20	100	1074	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1074.txt	560	23	432	1.284	36-180	76-140	43	-0.8	54	0	gaz(sims=400,cvisit=400,cscale=130,m=20)@1	learned(model=1074,6e9cf7e0,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=130,m=20)@1.learned(model=1074,6e9cf7e0,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R19	8819	400	0.03	0.0003	500	16	32	4	400	130	20	400	1075	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1075.txt	592	22	432	1.173	57-159	66-150	43	-0.8	58	0	gaz(sims=400,cvisit=400,cscale=130,m=20)@1	learned(model=1075,5ce66671,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=130,m=20)@1.learned(model=1075,5ce66671,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R19	8819	400	0.03	0.0003	500	16	32	4	400	130	20	1500	1076	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1076.txt	553	23	432	1.230	51-165	59-157	41	-0.7	54	0	gaz(sims=400,cvisit=400,cscale=130,m=20)@1	learned(model=1076,0390fdda,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=130,m=20)@1.learned(model=1076,0390fdda,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R19	8819	400	0.03	0.0003	500	16	32	4	400	130	20	4000	1077	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1077.txt	601	22	432	1.237	54-162	72-144	46	-1.0	58	0	gaz(sims=400,cvisit=400,cscale=130,m=20)@1	learned(model=1077,b55b1326,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=400,cscale=130,m=20)@1.learned(model=1077,b55b1326,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R20	8820	500	0.003	0	8000	128	32	8	800	40	12	100	1078	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1078.txt	420	28	432	2.153	30-186	44-172	47	-1.0	38	0	gaz(sims=500,cvisit=800,cscale=40,m=12)@1	learned(model=1078,9e29f570,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=800,cscale=40,m=12)@1.learned(model=1078,9e29f570,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R20	8820	500	0.003	0	8000	128	32	8	800	40	12	400	1079	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1079.txt	654	21	432	1.560	62-154	84-132	49	-0.4	62	0	gaz(sims=500,cvisit=800,cscale=40,m=12)@1	learned(model=1079,1969c1ea,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=800,cscale=40,m=12)@1.learned(model=1079,1969c1ea,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R20	8820	500	0.003	0	8000	128	32	8	800	40	12	1500	1080	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1080.txt	730	19	432	1.613	89-127	90-126	49	0.1	69	0	gaz(sims=500,cvisit=800,cscale=40,m=12)@1	learned(model=1080,269175ae,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=800,cscale=40,m=12)@1.learned(model=1080,269175ae,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R20	8820	500	0.003	0	8000	128	32	8	800	40	12	4000	1081	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1081.txt	706	20	432	1.740	89-127	79-137	54	1.1	66	0	gaz(sims=500,cvisit=800,cscale=40,m=12)@1	learned(model=1081,886b9d8f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=800,cscale=40,m=12)@1.learned(model=1081,886b9d8f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R21	8821	300	0.03	0	2000	32	8	8	400	70	16	100	1082	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1082.txt	507	25	432	1.021	60-156	36-180	46	-0.9	51	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1082,702cf5e4,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1082,702cf5e4,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R21	8821	300	0.03	0	2000	32	8	8	400	70	16	400	1083	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1083.txt	595	22	432	0.809	75-141	49-167	43	-0.5	62	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1083,e69865db,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1083,e69865db,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R21	8821	300	0.03	0	2000	32	8	8	400	70	16	1500	1084	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1084.txt	710	20	432	0.876	96-120	74-142	50	0.1	73	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1084,1eac18f0,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1084,1eac18f0,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R21	8821	300	0.03	0	2000	32	8	8	400	70	16	4000	1085	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1085.txt	771	19	432	0.814	62-154	136-80	54	1.3	80	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1085,62005965,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1085,62005965,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R22	8822	400	0.03	0.0003	500	16	128	0	800	130	8	100	1086	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1086.txt	581	23	432	1.226	53-163	66-150	45	-0.9	57	0	gaz(sims=400,cvisit=800,cscale=130,m=8)@1	learned(model=1086,aa294758,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=800,cscale=130,m=8)@1.learned(model=1086,aa294758,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R22	8822	400	0.03	0.0003	500	16	128	0	800	130	8	400	1087	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1087.txt	503	25	432	1.328	39-177	56-160	45	-0.9	49	0	gaz(sims=400,cvisit=800,cscale=130,m=8)@1	learned(model=1087,9692f343,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=800,cscale=130,m=8)@1.learned(model=1087,9692f343,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R22	8822	400	0.03	0.0003	500	16	128	0	800	130	8	1500	1088	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1088.txt	537	24	432	1.390	51-165	54-162	43	-0.9	51	0	gaz(sims=400,cvisit=800,cscale=130,m=8)@1	learned(model=1088,9e0e2d82,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=800,cscale=130,m=8)@1.learned(model=1088,9e0e2d82,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R22	8822	400	0.03	0.0003	500	16	128	0	800	130	8	4000	1089	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1089.txt	537	24	432	1.175	52-164	53-163	44	-0.9	53	0	gaz(sims=400,cvisit=800,cscale=130,m=8)@1	learned(model=1089,6aee0748,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=800,cscale=130,m=8)@1.learned(model=1089,6aee0748,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
