mode	k	g	half	games_per_agent	opp_per_agent	min_opp	n	rho	worst	rms	max	mean_shift	med_pm	over2pm	rms_openless	rms_opener8	rms_dil20	core_rho	core_worst	champs_same	ab_rho	ab_rms
strat	8	2	A	18.29	9.146	8	198	0.9014	72	152	865	3.884	105	0.05556	172.4	102.3	170.8	0.9602	5	1	0.814	192.5
strat	8	2	B	18.06	9.03	8	198	0.9013	80	139.9	799	-8.556	107	0.05556	158.1	128.4	131.3	0.9502	7	0	0.814	192.5
strat	8	4	A	35.82	9.146	8	198	0.9398	57	93.86	298	8.591	74	0.06566	107.3	87.56	85.12	0.9753	4	1	0.8896	121.1
strat	8	4	B	35.09	9.03	8	198	0.9319	61	90.61	240	-7.056	74	0.09091	87.64	89.6	94.47	0.9716	7	1	0.8896	121.1
strat	8	8	A	70.87	9.146	8	198	0.9589	48	74.1	211	12.71	52	0.1364	82.84	78.85	58.24	0.9756	5	0	0.935	90.41
strat	8	8	B	69.15	9.03	8	198	0.9592	44	70.04	223	7.091	52	0.1313	72.06	64.85	72.93	0.9703	5	1	0.935	90.41
strat	8	16	A	128.7	9.146	8	198	0.9724	41	64.12	195	12.18	39	0.1616	75.76	60.32	54.39	0.9836	5	1	0.953	79.28
strat	8	16	B	125.8	9.03	8	198	0.9702	35	58.32	154	3.561	39	0.1566	61.65	54.08	58.98	0.9816	4	1	0.953	79.28
strat	16	2	A	36.2	18.1	16	198	0.9542	48	78.49	259	6.207	73	0.03535	85.29	81.28	67.85	0.9736	5	2	0.9016	109.5
strat	16	2	B	36.02	18.01	16	198	0.9439	52	77.64	197	1.177	73	0.06061	74.85	82.99	74.8	0.9806	7	1	0.9016	109.5
strat	16	4	A	70.82	18.1	16	198	0.9712	38	59.28	202	14.65	52	0.05556	66.79	64.38	43.99	0.9836	4	1	0.9396	82.29
strat	16	4	B	70.25	18.01	16	198	0.9691	39	55.95	140	4.273	52	0.04545	59.26	55.46	52.94	0.9846	5	1	0.9396	82.29
strat	16	8	A	140.1	18.1	16	198	0.9829	33	45.67	125	12.84	37	0.09091	48.15	51.39	36.05	0.987	3	2	0.9654	64.01
strat	16	8	B	138.7	18.01	16	198	0.9798	37	46.46	133	6.409	37	0.1061	49	45.56	44.69	0.9883	4	1	0.9654	64.01
strat	16	16	A	254.2	18.1	16	198	0.9883	25	38.76	110	10.18	27	0.1162	41.46	40.43	33.97	0.989	3	1	0.9731	56.84
strat	16	16	B	251.4	18.01	16	198	0.9831	37	41.21	114	3.899	27	0.1717	43.51	41.59	38.35	0.9886	3	3	0.9731	56.84
strat	32	2	A	72.08	36.04	32	198	0.973	43	52.39	136	5.035	52	0.0404	51.06	49.4	56.46	0.99	5	2	0.9542	75.6
strat	32	2	B	72.38	36.19	32	198	0.9744	45	59.53	265	7.333	52	0.0404	57.02	50.42	69.55	0.9886	3	2	0.9542	75.6
