mode	k	g	half	games_per_agent	opp_per_agent	min_opp	n	rho	worst	rms	max	mean_shift	med_pm	over2pm	rms_openless	rms_opener8	rms_dil20	core_rho	core_worst	champs_same	ab_rho	ab_rms	within	within_opener8	ab_within	ab_within_opener8
panelstrat	64	2	A	128	64	64	198	0.9853	38	37.36	108	1.096	38	0.0404	38.97	36.91	36.13	0.9923	3	4	0.9672	55.74	36.66	35.82	53.49	57.65
panelstrat	64	2	B	128	64	64	198	0.9743	71	51.02	200	13.56	37	0.09596	55.67	42.51	53.88	0.9709	8	1	0.9672	55.74	48.1	42.46	53.49	57.65
panelstrat	64	4	A	247.3	64	64	198	0.9883	43	31.16	105	-0.9343	28	0.05556	34.59	27.78	30.73	0.9906	4	3	0.9803	46.07	30.66	26.94	44.46	42.8
panelstrat	64	4	B	245	64	64	198	0.9829	62	40.98	156	10.25	27	0.1364	48.7	31.09	41.22	0.9766	6	2	0.9803	46.07	39.16	29.9	44.46	42.8
panelstrat	64	8	A	486	64	64	198	0.9932	26	25.45	82	-3.005	20	0.08081	29.78	22.71	23.26	0.993	4	3	0.985	39.67	24.22	20.36	38.3	31.22
panelstrat	64	8	B	479	64	64	198	0.9862	51	36.34	132	6.934	20	0.1768	45.47	25.44	35.32	0.9806	6	1	0.985	39.67	35.23	24.87	38.3	31.22
panelstrat	64	16	A	963.3	64	64	198	0.9948	25	22.83	71	-4.404	14	0.202	27.3	19.79	20.66	0.9906	5	3	0.9873	35.35	20.95	16.85	33.69	27.04
panelstrat	64	16	B	947	64	64	198	0.9898	42	30.99	133	5.182	14	0.2374	39.92	18.28	30.87	0.9833	5	3	0.9873	35.35	30.24	18.11	33.69	27.04
panelstrat	112	2	A	224	112	112	198	0.9846	51	37.25	121	4.318	28	0.09091	44.99	30.3	34.95	0.9813	6	2	0.9823	38.33	34.97	27.56	37.19	34.6
panelstrat	112	2	B	224	112	112	198	0.9885	46	34.63	102	10.28	28	0.08081	40.7	24.89	36.36	0.991	4	3	0.9823	38.33	32.51	24.73	37.19	34.6
panelstrat	112	4	A	429.7	112	112	198	0.9886	42	32.62	118	1.692	21	0.1414	40.23	26.38	29.64	0.986	5	3	0.9888	32.19	30.85	23.72	30.88	30.89
panelstrat	112	4	B	431.7	112	112	198	0.9929	35	26.18	89	7.192	21	0.1061	32.5	20.6	24	0.994	3	5	0.9888	32.19	24.86	20.07	30.88	30.89
panelstrat	112	8	A	841	112	112	198	0.9919	34	29.15	112	-0.7778	15	0.2374	36.94	23.38	25.27	0.988	4	4	0.9932	26.24	26.58	18.66	23.95	21.03
panelstrat	112	8	B	847	112	112	198	0.9948	30	21.49	73	4.874	15	0.09596	26.57	15.65	20.85	0.9947	3	3	0.9932	26.24	20.27	14.87	23.95	21.03
panelstrat	112	16	A	1664	112	112	198	0.9934	32	27.26	106	-2.101	11	0.3283	34.71	21.86	23.38	0.988	4	3	0.9947	23.93	24.34	15.87	21.58	18.82
panelstrat	112	16	B	1678	112	112	198	0.9969	27	16.81	63	3.162	11	0.1465	22.53	10.42	15.22	0.9963	2	2	0.9947	23.93	15.74	10.16	21.58	18.82
