mode	k	g	half	games_per_agent	opp_per_agent	min_opp	n	rho	worst	rms	max	mean_shift	med_pm	over2pm	rms_openless	rms_opener8	rms_dil20	core_rho	core_worst	champs_same	ab_rho	ab_rms
strat	16	8	A	140.1	18.1	16	198	0.9827	33	43.31	119	15.48	35	0.09091	44.09	46.24	39.29	0.9866	3	2	0.9655	56.11
strat	16	8	B	138.7	18.01	16	198	0.9796	36	42.64	124	10.81	35	0.09596	41.27	42.29	44.3	0.9906	3	0	0.9655	56.11
strat	16	16	A	254.2	18.1	16	198	0.9879	27	36.45	103	11.57	26	0.1364	38.26	38.29	32.49	0.99	3	1	0.9734	52.36
strat	16	16	B	251.4	18.01	16	198	0.9835	37	38.24	107	6.46	26	0.1515	38.9	39.31	36.46	0.9906	3	3	0.9734	52.36
strat	32	2	A	72.08	36.04	32	198	0.9737	42	59.46	193	16	44	0.1162	54.28	49.75	72.02	0.9906	5	2	0.9532	49.33
strat	32	2	B	72.38	36.19	32	198	0.9739	42	59.15	143	16.93	44	0.1364	54.22	51.39	70.11	0.9896	3	3	0.9532	49.33
strat	32	4	A	140.6	36.04	32	198	0.9843	30	40.44	115	10.56	33	0.1162	38.06	37.06	45.66	0.9913	5	2	0.9719	43.39
strat	32	4	B	141.5	36.19	32	198	0.9842	40	39.85	120	12.18	33	0.101	33.79	39.46	45.44	0.9943	3	2	0.9719	43.39
strat	32	8	A	277.6	36.04	32	198	0.9895	26	30.19	77	9.237	25	0.09091	31.51	30.11	28.89	0.9923	3	4	0.9813	37.78
strat	32	8	B	279.7	36.19	32	198	0.9888	30	30.38	86	12.35	24	0.1111	23.99	33.4	32.84	0.9953	3	3	0.9813	37.78
strat	32	16	A	503	36.04	32	198	0.9926	22	25.02	61	4.485	19	0.1212	29.31	22.81	22.33	0.9943	3	3	0.9844	35.77
strat	32	16	B	506.9	36.19	32	198	0.9913	31	25.51	85	5.465	19	0.1263	24.56	27.36	24.5	0.9926	3	2	0.9844	35.77
strat	64	2	A	144	72.01	64	198	0.9863	28	56.63	150	17.13	31	0.2879	52.52	45.9	68.96	0.9936	2	2	0.9706	38.04
strat	64	2	B	143.6	71.78	64	198	0.9835	42	57.06	165	19.81	31	0.2828	49.97	47.47	70.82	0.9947	3	1	0.9706	38.04
strat	64	4	A	281.4	72.01	64	198	0.9918	23	36.08	113	12.3	24	0.1869	34.37	32.87	40.53	0.9963	2	3	0.9843	31.89
strat	64	4	B	280	71.78	64	198	0.99	35	37.7	87	15.58	23	0.2323	33.95	33.32	44.73	0.9967	2	1	0.9843	31.89
strat	64	8	A	556	72.01	64	198	0.994	16	24.17	59	9.54	17	0.1364	23.56	24.57	24.36	0.994	3	4	0.9878	29.19
strat	64	8	B	552.8	71.78	64	198	0.9931	26	27.22	71	14.94	17	0.2222	22.89	26.77	31.32	0.9973	3	2	0.9878	29.19
strat	64	16	A	1007	72.01	64	198	0.9956	16	18.34	62	4.631	13	0.1364	21.19	17.98	15.4	0.9943	3	3	0.9899	26.86
strat	64	16	B	1013	71.78	64	198	0.9943	32	20.09	84	8.237	13	0.1566	19.81	18.1	22.16	0.9957	3	3	0.9899	26.86
strat	128	2	A	284.9	142.5	128	198	0.992	27	52.75	147	19.19	22	0.4394	47.59	39.91	67	0.995	3	2	0.9846	28.36
strat	128	2	B	282.6	141.3	128	198	0.9906	23	57.16	158	22.36	22	0.4444	49.54	46.22	72.19	0.9926	3	4	0.9846	28.36
strat	128	4	A	556.1	142.5	128	198	0.9938	22	31.47	85	14.66	17	0.298	23.7	27.2	40.86	0.996	2	2	0.9861	27.44
strat	128	4	B	550.3	141.3	128	198	0.9939	20	34.5	87	11.61	17	0.3535	32.44	27.78	41.79	0.9933	4	2	0.9861	27.44
strat	128	8	A	1098	142.5	128	198	0.9954	21	19.46	65	11.06	12	0.197	12.97	20.23	23.63	0.995	4	2	0.991	24.62
strat	128	8	B	1086	141.3	128	198	0.9967	14	18.37	48	2.874	12	0.1313	19.5	17.01	18.52	0.9977	2	4	0.991	24.62
strat	128	16	A	1999	142.5	128	198	0.997	20	13.29	53	4.965	9	0.1162	12.75	13.5	13.6	0.994	3	2	0.9933	21.9
strat	128	16	B	2153	141.3	128	198	0.998	13	12	44	-2.359	9	0.08081	13.75	11.82	10.15	0.9987	2	4	0.9933	21.9
