rank	elo	pm	games	wins	losses	white_wins	white_losses	black_wins	black_losses	avg_plies	ms_move	cpu_ms_move	nodes_move	eff	active	id
312	776	7	3472	1751	1721	941	795	810	926	52.9	265.693	262.469	61890	43	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=111,78ef6974,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1.opener(rand,moves=8)@1
313	775	8	2268	1216	1052	613	529	603	523	43.4	0.176	0.247	4278	97	gone	ab(deep=4)@1.classic(chip=100)@2
314	774	7	3472	1742	1730	909	827	833	903	51.6	12.976	12.809	47108	57	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(rand,moves=8)@1
315	773	25	196	121	75	58	40	63	35	48.0	1.286	0.972	1710	78	gone	ab(d4,tt,ord,nb200k)@1.learned(s13,068b8a37)@1
316	772	9	1820	1103	717	586	324	517	393	50.7	16.047	15.887	59519	55	on	ab(deep=6,tt,ord,time=150ms)@2.learned(model=95,07792e69,pool_games,lin,shape=129-1)@1
317	771	11	1160	691	469	357	223	334	246	45.0	3.002	4.685	14927	63	gone	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@2.dil(prob=45,deep=3)@1
318	771	9	1820	1100	720	513	397	587	323	50.8	17.938	17.732	64423	55	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=94,784bb5fe,pool_games,lin,shape=129-1)@1
319	770	9	1820	1097	723	523	387	574	336	51.5	17.318	17.111	64609	55	on	ab(deep=6,tt,ord,time=150ms)@2.learned(model=94,784bb5fe,pool_games,lin,shape=129-1)@1
320	768	8	2252	1193	1059	628	498	565	561	52.0	0.497	0.848	10121	79	gone	ab(deep=4)@1.exp(chip=4,forward=8)@2
321	767	8	2336	1218	1118	637	531	581	587	44.0	5.448	9.443	27627	58	gone	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@2.dil(prob=10)@1
322	766	7	3472	1710	1762	878	858	832	904	52.5	13.318	13.166	50019	56	on	ab(deep=6,tt,ord,time=150ms)@2.learned(model=4,eb105733,pool_games,lin,shape=129-1)@1.opener(rand,moves=8)@1
323	765	9	1736	831	905	452	416	379	489	52.1	14.309	13.806	45957	56	gone	ab(deep=6,tt,ord,time=150ms)@1.learned(model=3,68364898,pool_games,lin,shape=129-1)@1.opener(rand,moves=8)@1
324	765	9	1904	885	1019	479	473	406	546	52.9	13.609	13.321	45441	56	gone	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=3,68364898,pool_games,lin,shape=129-1)@1.opener(rand,moves=8)@1
325	765	19	504	256	248	131	121	125	127	38.6	0.153	0.244	3513	96	gone	ab(deep=4)@1.classic(chip=100)@1.dil(prob=10)@1
326	765	19	504	256	248	143	109	113	139	47.3	0.758	0.715	14689	81	gone	ab(deep=4)@1.exp(chip=4,forward=4)@1
327	764	9	1820	1086	734	581	329	505	405	51.2	16.692	16.544	59748	55	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=95,07792e69,pool_games,lin,shape=129-1)@1
328	764	7	3472	1702	1770	913	823	789	947	52.7	13.675	13.475	49786	56	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=4,eb105733,pool_games,lin,shape=129-1)@1.opener(rand,moves=8)@1
329	761	19	504	254	250	146	106	108	144	47.7	0.759	0.743	14615	80	gone	ab(deep=4)@1.exp(chip=4,forward=1)@1
330	759	7	3472	1684	1788	838	898	846	890	56.1	15.791	15.585	56941	55	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=94,784bb5fe,pool_games,lin,shape=129-1)@1.opener(rand,moves=4)@1
331	759	25	196	117	79	67	31	50	48	47.0	0.929	0.828	1586	78	gone	ab(d4,tt,ord,nb200k)@1.learned(s7,388ce3fa)@1
332	757	7	3472	1676	1796	893	843	783	953	52.4	13.271	13.007	47784	55	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=3,68364898,pool_games,lin,shape=129-1)@1.opener(rand,moves=8)@1
333	756	9	1820	1069	751	556	354	513	397	39.3	0.082	0.071	1180	122	on	ab(deep=3)@2.classic(chip=100)@2
334	756	24	318	155	163	86	73	69	90	37.4	5.211	7.812	28727	58	gone	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@1.dil(prob=18)@1
335	754	8	2252	1156	1096	710	416	446	680	58.0	1.567	3.025	18141	65	gone	ab(deep=4)@1.classic(chip=10,wall=3,column=2)@2
336	749	7	3472	1645	1827	891	845	754	982	52.2	12.928	12.789	47999	55	on	ab(deep=6,tt,ord,time=150ms)@2.learned(model=3,68364898,pool_games,lin,shape=129-1)@1.opener(rand,moves=8)@1
337	748	9	1820	1052	768	554	356	498	412	38.5	11.436	11.187	181393	56	on	ab(deep=6,noab,nodes=200k)@2.classic(chip=100)@2
338	747	9	1840	834	1006	444	476	390	530	54.3	280.701	272.574	62914	41	gone	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=113,e3cc8b4e,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1.opener(rand,moves=8)@1
339	747	8	2345	1167	1178	593	584	574	594	43.3	0.165	0.227	3979	95	gone	ab(deep=4)@1.classic(chip=100)@2.dil(prob=5)@1
340	746	9	1820	1049	771	489	421	560	350	51.9	1.273	1.243	4796	73	on	ab(deep=4,tt,ord,nodes=200k)@2.learned(model=10,fead67b7,weight_merge,lin,shape=129-1)@1
341	746	13	960	424	536	195	285	229	251	50.1	0.403	0.384	1515	87	gone	ab(d4,tt,ord,nb200k)@1.learned(s6,eac8ab99)@1
342	746	13	960	424	536	224	256	200	280	50.8	0.382	0.360	1431	88	gone	ab(d4,tt,ord,nb200k)@1.learned(s7,c7f7ce61)@1
343	746	7	3472	1633	1839	854	882	779	957	45.5	10.461	10.290	38850	56	on	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2.dil(prob=10)@1
